backbone_id	spread_label	visibility_expansion_label	dominant_genus	primary_replicon	dominant_mpf_type	amr_class_tokens	dominant_amr_gene_family
AA171	1	1	Escherichia	IncFIA	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,GLYCOPEPTIDE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MONOBACTAM,NUCLEOSIDE,PENAM,PENEM,PHENICOL,QUINOLONE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AA619	1	1	Salmonella	IncX4	MPF_T	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,CEPHAMYCIN,COLISTIN,FLUOROQUINOLONE,FOSFOMYCIN,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MONOBACTAM,NUCLEOSIDE,OXAZOLIDINONE,PENAM,PENEM,PEPTIDE,PHENICOL,PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN,PLEUROMUTILIN,QUINOLONE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,STREPTOTHRICIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	MCR
AB687	1	1	Escherichia	Col(MG828)			
AE635	0	0	Sphingomonas	rep_cluster_1131			
AB702	1	1	Acinetobacter			AMINOGLYCOSIDE	ANT
AB337	1	1	Acinetobacter	rep_cluster_1254		BETA-LACTAM	BLAOXA
AA865	0	0	Buchnera	rep_cluster_1374			
AF586	0	0	Corynebacterium				
AG841	0	0	Hymenobacter				
AH121	0	0	Hymenobacter	rep_cluster_1104			
AB015	0	0	Hymenobacter	rep_cluster_1231			
AC345	0	0	Ligilactobacillus	rep_cluster_530		LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,PHENICOL,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,TETRACYCLINE	TETM
AF075	0	0	Ligilactobacillus				
AH178	0	0	Ligilactobacillus				
AG972	0	0	Lacticaseibacillus	rep_cluster_1058			
AC566	0	0	Lacticaseibacillus	rep_cluster_833	MPF_T		
AC563	0	0	Lacticaseibacillus			AMINOGLYCOSIDE	APH
AC154	1	1	Lacticaseibacillus	rep_cluster_1739			
AB319	1	1	Bacillus	rep_cluster_1454			
AC129	1	1	Klebsiella	rep_cluster_1195		BETA-LACTAM,CARBAPENEM,MACROLIDE,PENAM	BLAOXA
AD818	1	1	Streptomyces	rep_cluster_1921			QACJ
AD406	0	0	Bacillus	rep_cluster_459			
AE050	1	1	Bacillus	rep_cluster_1912	MPF_T	CEPHALOSPORIN,FOSFOMYCIN,GLYCOPEPTIDE,PENEM,PHOSPHONIC ACID	FOSB
AF686	1	1	Bacillus			GLYCOPEPTIDE	VANYGENE
AE427	1	1	Bacillus	rep_cluster_1980			
AD182	1	1	Bacillus				
AD593	1	1	Bacillus	rep_cluster_1850			
AC113	1	1	Bacillus				
AB675	0	0	Bacillus	rep_cluster_125	MPF_T	CEPHALOSPORIN,GLYCOPEPTIDE,PENEM	VANYGENE
AC347	1	1	Bacillus	rep_cluster_163	MPF_T		
AF251	0	0	Bacillus	rep_cluster_1698			
AB865	0	0	Burkholderia	rep_cluster_1398	MPF_T		
AD328	0	0	Burkholderia	rep_cluster_215	MPF_T	FLUOROQUINOLONE,TETRACYCLINE	MERB
AG433	0	0	Streptantibioticus	rep_cluster_1915		TETRACYCLINE	STREPTOM
AE015	1	1	Campylobacter	rep_cluster_1502	MPF_T		
AC647	0	0	Vibrio	rep_cluster_564		FLUOROQUINOLONE,QUINOLONE,TETRACYCLINE	QNRS
AH311	0	0	Vibrio				
AA660	0	0	Bacillus	rep_cluster_617			
AD369	0	0	Bacillus	rep_cluster_814			
AC680	0	0	Bacillus	rep_cluster_1721			
AD370	0	0	Bacillus	rep_cluster_814			
AA661	1	1	Bacillus	rep_cluster_617			
AF086	0	0	Bacillus	rep_cluster_1434			
AC907	0	0	Pseudomonas	rep_cluster_2238	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,MACROLIDE,PHENICOL,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE	SUL
AF571	1	1	Klebsiella	IncFIA	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,PHENICOL,QUINOLONE,SULFONAMIDE,TRIMETHOPRIM	AAC
AA050	1	1	Klebsiella	IncR	MPF_T	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,COLISTIN,FLUOROQUINOLONE,PEPTIDE,PHENICOL,PHOSPHONIC ACID,SULFONAMIDE,TRIMETHOPRIM	MCR
AC623	1	1	Xylella	rep_cluster_1443	MPF_T		
AD726	0	0	Serratia	IncI1	MPF_F	BETA-LACTAM	BLACTXM
AA850	0	0	Staphylococcus	rep_cluster_1017		AMINOGLYCOSIDE,DIAMINOPYRIMIDINE,TRIMETHOPRIM	AAC
AD616	0	0	Francisella	rep_cluster_168			
AD985	0	0	Yersinia	IncFII			
AF187	0	0	Corynebacterium	rep_cluster_1240			
AG207	0	0	Corynebacterium	rep_cluster_143		LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,STREPTOGRAMIN,STREPTOGRAMIN B	ERM
AD358	0	0	Francisella	rep_cluster_961		TETRACYCLINE	TETC
AE685	0	0	Francisella	Inc13			
AD357	0	0	Francisella	rep_cluster_1050			
AB871	0	0	Francisella	rep_cluster_1394			
AE686	0	0	Francisella	Inc13			
AC350	0	0	Bacillus	rep_cluster_163	MPF_T		
AE568	0	0	Bacillus	rep_cluster_170	MPF_T		
AF250	1	1	Bacillus	rep_cluster_1396			MERB
AF255	0	0	Bacillus	rep_cluster_845			
AA798	0	0	Bacillus	rep_cluster_125	MPF_T		CAPC
AB428	0	0	Bacillus	rep_cluster_1767	MPF_F		
AC228	1	1	Bacillus	rep_cluster_1951			
AD603	0	0	Bacillus	rep_cluster_1821			
AB258	1	1	Bacillus	rep_cluster_1830			
AB673	0	0	Bacillus	rep_cluster_164			
AE319	0	0	Bacillus	rep_cluster_1520			ARSN
AC586	1	1	Bacillus	rep_cluster_1925			QACH
AE871	0	0	Vibrio	rep_cluster_986			
AH493	0	0	Vibrio	rep_cluster_1501	MPF_F		
AB601	0	0	Vibrio		MPF_F	AMINOGLYCOSIDE,SULFONAMIDE	APH
AH390	1	1	Vibrio	rep_cluster_419	MPF_F	TETRACYCLINE	TETB
AC352	1	1	Priestia	rep_cluster_385			
AD244	0	0	Priestia	rep_cluster_385		MACROLIDE,PHOSPHONIC ACID,STREPTOGRAMIN	MSRI
AC676	1	1	Priestia				
AF865	0	0	Priestia	rep_cluster_1201			
AF111	0	0	Priestia	rep_cluster_2005			
AF034	1	1	Priestia	rep_cluster_385			
AD590	1	1	Bacillus	rep_cluster_1836			
AC532	0	0	Streptomyces	rep_cluster_194			
AA082	0	0	Bacillus	rep_cluster_415			
AG628	0	0	Bacillus				
AG838	0	0	Lactobacillus				
AH220	0	0	Corynebacterium				
AA563	1	1	Peptoclostridium	rep_cluster_1017		LINCOSAMIDE,MACROLIDE	LNUA
AG953	0	0	Corynebacterium				
AA774	0	0	Corynebacterium				
AH071	0	0	Terribacillus				
AF503	0	0	Novosphingobium	rep_cluster_545		FLUOROQUINOLONE,TETRACYCLINE	ADEF
AG224	0	0	Novosphingobium	rep_cluster_543	MPF_F		
AG533	0	0	Novosphingobium	rep_cluster_545	MPF_T	FLUOROQUINOLONE,TETRACYCLINE	ADEF
AA062	0	0	Chlamydia	rep_cluster_289			
AB674	0	0	Bacillus	rep_cluster_164		GLYCOPEPTIDE	BPSA
AD539	0	0	Bacillus	rep_cluster_1698			
AD578	1	1	Rhizobium	rep_cluster_685	MPF_T		
AC690	1	1	Rhizobium	rep_cluster_841	MPF_T	CEPHALOSPORIN,FLUOROQUINOLONE,GLYCOPEPTIDE,GLYCYLCYCLINE,PENAM,PHENICOL,RIFAMYCIN,TETRACYCLINE	ADEF
AC095	1	1	Rhizobium	rep_cluster_512	MPF_T	AMINOGLYCOSIDE,GLYCOPEPTIDE	RMTH
AE055	0	0	Sphingomonas	rep_cluster_1319			
AH174	0	0	Sphingomonas	rep_cluster_1131		FLUOROQUINOLONE,TETRACYCLINE	ADEF
AC839	0	0	Neorhizobium	rep_cluster_471	MPF_T		
AC229	0	0	Rubrobacter	rep_cluster_254			
AD463	0	0	Rubrobacter	rep_cluster_232			
AC230	0	0	Rubrobacter	rep_cluster_201			
AG695	0	0	Dermacoccus				
AC269	0	0	Aeromonas	rep_cluster_2037			
AD033	0	0	Streptomyces	rep_cluster_266			
AB442	1	1	Escherichia	rep_cluster_2350			
AC462	0	0	Paucilactobacillus	rep_cluster_707	MPF_T		
AC543	0	0	Paucilactobacillus	rep_cluster_1058			CLPL
AF747	1	1	Serratia	IncP		AMINOGLYCOSIDE,BETA-LACTAM,CEPHALOSPORIN,DIAMINOPYRIMIDINE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,PENAM,PHENICOL,STREPTOGRAMIN,SULFONAMIDE,TRIMETHOPRIM	APH
AG206	0	0	Corynebacterium				
AG873	0	0	Virgibacillus				
AG850	0	0	Virgibacillus				
AH410	0	0	Geoalkalibacter				
AD092	0	0	Edwardsiella	rep_cluster_2327		AMINOGLYCOSIDE,PHENICOL	CATA
AA593	0	0	Edwardsiella	IncC	MPF_F	AMINOGLYCOSIDE,PHENICOL,SULFONAMIDE,TETRACYCLINE	ARSD
AC691	1	1	Rhizobium	rep_cluster_841	MPF_T		
AD299	0	0	Lactococcus	rep_cluster_2422			
AC694	1	1	Rhizobium	rep_cluster_841	MPF_T	FLUOROQUINOLONE,TETRACYCLINE	ADEF
AE539	0	0	Rhizobium	rep_cluster_287	MPF_T		
AD890	0	0	Rhizobium	rep_cluster_471	MPF_T		
AA707	0	0	Staphylococcus	rep_cluster_1110		GLYCOPEPTIDE	ARSB
AD930	0	0	Azospirillum	rep_cluster_1806			
AG108	0	0	Azospirillum	rep_cluster_252		CEPHALOSPORIN,FLUOROQUINOLONE,GLYCYLCYCLINE,PENAM,PHENICOL,RIFAMYCIN,TETRACYCLINE	PSEUDOMO
AD688	0	0	Stutzerimonas	rep_cluster_1516		EFFLUX	TBTA
AD931	1	1	Azospirillum	rep_cluster_771		FLUOROQUINOLONE,TETRACYCLINE	ADEF
AF225	1	1	Azospirillum	rep_cluster_1067		AMINOGLYCOSIDE,BETA-LACTAM,CEPHALOSPORIN,FLUOROQUINOLONE,GLYCOPEPTIDE,GLYCYLCYCLINE,PENAM,PHENICOL,RIFAMYCIN,TETRACYCLINE	VANTGENE
AF224	1	1	Azospirillum	rep_cluster_622	MPF_T	FLUOROQUINOLONE,TETRACYCLINE	ADEF
AD946	0	0	Amycolatopsis				
AA295	1	1	Escherichia	IncFIB	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,CEPHALOSPORIN,DIAMINOPYRIMIDINE,MACROLIDE,PEPTIDE,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	ETPD
AA346	1	1	Escherichia	IncFIB	MPF_Unknown	AMINOGLYCOSIDE,BETA-LACTAM,SULFONAMIDE,TRIMETHOPRIM	EHXA
AB525	0	0	Campylobacter	rep_cluster_793			
AA345	1	1	Escherichia	IncFIA	MPF_F	AMINOGLYCOSIDE	EHXA
AB709	1	1	Escherichia	IncX1	MPF_T	BETA-LACTAM,CEPHALOSPORIN,MONOBACTAM,PENAM,PENEM	TEM
AC621	1	1	Escherichia				
AH420	0	0	Collimonas	rep_cluster_1928			
AB745	1	1	Escherichia	IncX4	MPF_T		HLYAALPH
AA174	1	1	Salmonella	IncFIA	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,CEPHALOSPORIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	MPHA
AC105	1	1	Bacillus	Col(SD853)			
AB148	1	1	Vibrio	rep_cluster_1317	MPF_F	PHOSPHONIC ACID	ACINETOB
AB779	0	0	Zymomonas				
AA275	1	1	Klebsiella	IncFIB	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,DIAMINOPYRIMIDINE,EFFLUX,FLUOROQUINOLONE,FOSFOMYCIN,GLYCOPEPTIDE,MACROLIDE,MONOBACTAM,PENAM,PENEM,PEPTIDE,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	MPHA
AA040	0	0	Klebsiella	IncU	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,NUCLEOSIDE,PHENICOL,STREPTOTHRICIN,SULFONAMIDE,TRIMETHOPRIM	SAT
AD465	1	1	Klebsiella				
AA103	1	1	Klebsiella	ColRNAI_rep_cluster_1987			
AA434	1	1	Klebsiella	IncFII	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,CEPHALOSPORIN,FLUOROQUINOLONE,MONOBACTAM,PENAM,PENEM,SULFONAMIDE,TRIMETHOPRIM	TEM
AD548	0	0	Klebsiella	rep_cluster_1418	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM	BLAKPC
AC125	1	1	Klebsiella	IncFIB	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,GLYCOPEPTIDE,MACROLIDE,PENAM,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AAC
AA276	1	1	Klebsiella	IncFIB	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,GLYCOPEPTIDE,MACROLIDE,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AAC
AA818	1	1	Klebsiella	IncFIB			ARSB
AA659	1	1	Bacillus	rep_cluster_268			
AA425	1	1	Enterobacter	IncFIB	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,CEPHALOSPORIN,COLISTIN,DIAMINOPYRIMIDINE,MONOBACTAM,PENAM,PENEM,QUINOLONE,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	YFDX
AE430	0	0	Enterobacter	rep_cluster_1756			
AB186	1	1	Enterobacter	IncFII		AMINOGLYCOSIDE,BETA-LACTAM,DIAMINOPYRIMIDINE,MACROLIDE,PHENICOL,QUINOLONE,SULFONAMIDE,TRIMETHOPRIM	APH
AB721	1	1	Staphylococcus	rep_cluster_1017			
AG312	0	0	Yersinia	IncFII	MPF_I		
AD122	0	0	Pseudomonas	rep_cluster_283	MPF_T		COPA
AC333	1	1	Staphylococcus	rep_cluster_1118		LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,TETRACYCLINE	TETK
AB528	1	1	Enterococcus	rep_cluster_180	MPF_T	AMINOGLYCOSIDE,LINCOSAMIDE,MACROLIDE,OXAZOLIDINONE,PHENICOL,PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN,PHENICOL/OXAZOLIDINONE,PLEUROMUTILIN,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,TETRACYCLINE	FEXA
AE310	0	0	Enterococcus	rep_cluster_992		AMINOGLYCOSIDE,DIAMINOPYRIMIDINE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,PHENICOL,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,TRIMETHOPRIM	ARSA
AE109	1	1	Klebsiella	IncFII	MPF_F	BETA-LACTAM	NCRA
AA828	1	1	Klebsiella	IncFIB	MPF_F		PCOB
AB413	1	1	Acinetobacter	rep_cluster_639			HDEDGI
AA279	1	1	Escherichia	IncK2/Z	MPF_I	AMINOGLYCOSIDE,BETA-LACTAM,MACROLIDE,PHENICOL,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AF908	1	1	Pectobacterium	rep_cluster_1304		BETA-LACTAM	BLATEM
AF809	1	1	Pseudomonas	rep_cluster_1115	MPF_I	AMINOCOUMARIN,AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,DIAMINOPYRIMIDINE,EFFLUX,FLUOROQUINOLONE,GLYCOPEPTIDE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,PENAM,PENEM,PHENICOL,PHOSPHONIC ACID,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AAC
AD970	0	0	Paenibacillus	rep_cluster_2425		GLYCOPEPTIDE	VANTGENE
AH458	0	0	Paenibacillus				
AB161	1	1	Escherichia	IncN	MPF_T	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,DIAMINOPYRIMIDINE,EFFLUX,FLUOROQUINOLONE,GLYCYLCYCLINE,MACROLIDE,MONOBACTAM,NUCLEOSIDE,PENAM,PENEM,PEPTIDE,PHENICOL,PHOSPHONIC ACID,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AAC
AD889	0	0	Rhizobium	rep_cluster_287	MPF_T		
AH397	0	0	Clostridium	rep_cluster_630			
AG626	0	0	Sphingopyxis	rep_cluster_550			
AF085	1	1	Clostridium	rep_cluster_1536	MPF_T	NITROIMIDAZOLE	BONTB
AG773	0	0	Thalassospira				
AF672	0	0	Streptomyces	rep_cluster_1974			
AE687	0	0	Allofrancisella	Inc13			
AG390	0	0	Azotobacter			FLUOROQUINOLONE,TETRACYCLINE	ADEF
AG389	0	0	Azotobacter	rep_cluster_1301		CEPHALOSPORIN,PENAM	OXA
AG392	0	0	Azotobacter				
AB735	0	0	Azotobacter	rep_cluster_782	MPF_T		
AF353	0	0	Azotobacter	rep_cluster_1508			
AF352	0	0	Azotobacter	rep_cluster_1325			
AB338	1	1	Acinetobacter	rep_cluster_1226		AMINOGLYCOSIDE,CEPHALOSPORIN,SULFONAMIDE,TETRACYCLINE	APH
AE538	1	1	Rhizobium	rep_cluster_287	MPF_T	PHOSPHONIC ACID	FOSXCC
AD488	1	1	Klebsiella	Col3M		AMINOGLYCOSIDE,QUINOLONE	QNRD
AB583	0	0	Borreliella				
AA940	0	0	Borreliella				
AD453	0	0	Pantoea	rep_cluster_1232		AMINOGLYCOSIDE,CEPHALOSPORIN,MACROLIDE,PEPTIDE,PHOSPHONIC ACID,RIFAMYCIN,TETRACYCLINE	ARNT
AD452	1	1	Pantoea	rep_cluster_1232			
AH428	0	0	Clostridium				
AC773	0	0	Pantoea	ColE10		COLISTIN	MCR
AC890	0	0	Pantoea	rep_cluster_1392			
AA830	0	0	Pantoea	rep_cluster_1440	MPF_G		SILA
AA885	1	1	Enterobacter	rep_cluster_1804	MPF_T	BETA-LACTAM	ARSA
AC507	1	1	Aeromonas	IncQ2		AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,CEPHALOSPORIN,CEPHAMYCIN,QUINOLONE,TRIMETHOPRIM	QNRS
AE773	0	0	Pseudomonas	IncP		AMINOGLYCOSIDE,BETA-LACTAM,SULFONAMIDE	BLA
AC686	1	1	Vibrio	rep_cluster_1486		PHENICOL	CATA
AA046	1	1	Klebsiella	IncFIB	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,GLYCOPEPTIDE,MACROLIDE,PENAM,PHENICOL,SULFONAMIDE,TETRACYCLINE	BRPMBL
AC305	1	1	Escherichia	IncX1	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,CARBAPENEM,CEPHALOSPORIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,GLYCYLCYCLINE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE,MACROLIDE,MONOBACTAM,OXAZOLIDINONE,PENAM,PENEM,PHENICOL,PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN,PLEUROMUTILIN,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,STREPTOGRAMIN A,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	TETA
AC509	1	1	Escherichia	rep_cluster_2350		BETA-LACTAM,COLISTIN	MCR
AA319	1	1	Escherichia	IncFIA	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,DIAMINOPYRIMIDINE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AA436	1	1	Klebsiella	IncFIB	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,CARBAPENEM,CEPHALOSPORIN,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,PENAM,STREPTOGRAMIN,SULFONAMIDE,TRIMETHOPRIM	BLAKPC
AA323	1	1	Escherichia	IncFIA	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,COLISTIN,FLUOROQUINOLONE,FOSFOMYCIN,GLYCOPEPTIDE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MONOBACTAM,PENAM,PENEM,PEPTIDE,PHENICOL,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	MPHA
