model_name	model_track	roc_auc	average_precision	prediction_vs_knownness_spearman	ece	weighted_classification_cost	decision_utility_score	decision_utility_cost	optimal_decision_threshold	decision_utility_precision	decision_utility_recall	decision_utility_positive_rate	spatial_holdout_roc_auc	selection_adjusted_empirical_p_roc_auc	lower_half_knownness_n_backbones	lower_half_knownness_roc_auc	lowest_knownness_quartile_n_backbones	lowest_knownness_quartile_roc_auc	matched_knownness_weighted_roc_auc	source_holdout_weighted_roc_auc	source_holdout_macro_roc_auc	roc_auc_component_score	average_precision_component_score	lower_half_knownness_roc_auc_component_score	lowest_knownness_quartile_roc_auc_component_score	matched_knownness_weighted_roc_auc_component_score	source_holdout_macro_roc_auc_component_score	prediction_vs_knownness_spearman_component_score	decision_utility_score_component_score	selection_composite_score	selection_metric_count	selection_missing_metric_count	leakage_review_required	leakage_review_reason	knownness_matched_gap	source_holdout_gap	guardrail_loss	governance_priority_score	strict_knownness_acceptance_flag	spatial_holdout_gap	matched_knownness_gate_pass	source_holdout_gate_pass	spatial_holdout_gate_pass	calibration_gate_pass	selection_adjusted_gate_pass	leakage_review_gate_pass	scientific_acceptance_scored	scientific_acceptance_flag	scientific_acceptance_status	selection_metrics_complete	scientific_acceptance_failed_criteria	selection_rank	track_rank	discovery_track_rank	governance_track_rank	baseline_track_rank	governance_rank
phylo_support_fusion_priority	governance	0.827138791227189	0.7665059493881674	0.5732670244927672	0.0852389523508536	0.13549039433771487	-0.13549039433771487	0.13549039433771487	0.18399242581331562	0.4668470906630582	0.9530386740331491	0.7472194135490394	0.8211058633592307	0.0009990009990009	631	0.7598553664344299	0		0.774220778633735	0.7618556347800043	0.7358996662499979	1.0	1.0	1.0		1.0	0.736842105263158	0.33333333333333337	1.0	0.8671679197994987	7	0	False		-0.05291801259345408	-0.06528315644718474	0.11820116904063882	0.7089376221865502	False	-0.006032927867958282	False	False	True	False	True	True	True	False	fail	True	fail:matched_knownness,source_holdout,calibration	1	1		1		2
discovery_12f_source	discovery	0.8035942442746746	0.722509742523147	0.5126561057115403	0.0491210616377955	0.16177957532861476	-0.16177957532861476	0.16177957532861476	0.16405464849785317	0.46887966804979253	0.93646408839779	0.731041456016178	0.788854508831935	0.0009990009990009	631	0.7334714995443454	0		0.7439816931508225	0.7824860062588886	0.7389043832389603	0.7142857142857143	0.8571428571428572	0.8571428571428572		0.8571428571428572	0.8421052631578947	0.6190476190476191	0.7142857142857143	0.7801646974579305	7	0	False		-0.05961255112385211	-0.021108238015785985	0.0807207891396381	0.7228734551350365	False	-0.014739735442739654	False	False	True	True	True	True	True	False	fail	True	fail:matched_knownness,source_holdout	2	1	1			1
baseline_both	baseline	0.7224968498594553	0.6471951497145494	0.690014969139235	0.0393089918413468	0.2659251769464105	-0.2659251769464105	0.2659251769464105	0.2131140457948945	0.3667679837892604	1.0	0.9979777553083923	0.739834474783596	0.0009990009990009	631	0.49837581209395304	0		0.5939611196117038	0.737077811705432	0.6916156869971132	0.23809523809523814	0.23809523809523814	0.09523809523809523		0.19047619047619047	0.26315789473684215	0.04761904761904767	0.33333333333333337	0.20085929108485504	7	0	False		-0.12853573024775145	0.014580961845976681	0.14311669209372813	0.5793801577657272	False	0.017337624924140704	False	True	True	True	True	True	True	False	fail	True	fail:matched_knownness	3	1			1	3
support_synergy_priority	governance	0.8213936398001533	0.7522732242493788	0.5720036365538095		0.14762386248736098	-0.14762386248736098	0.14762386248736098	0.17972650600617823	0.459387483355526	0.9530386740331491	0.7593528816986855	0.817033824813191		631	0.7546814827880177	0		0.766530447135283	0.7638573082159623	0.7338115499413178	0.9523809523809523	0.9523809523809523	0.9523809523809523		0.9523809523809523	0.6842105263157895	0.38095238095238093	0.9047619047619048	0.8256355173648406	7	0	False		-0.054863192664870386	-0.057536331584191025	0.11239952424906141	0.7089941155510919	False	-0.004359814986962363	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		2				
structured_signal_priority	governance	0.809762351634989	0.7207107167910382	0.5372310490501477		0.16683518705763398	-0.16683518705763398	0.16683518705763398	0.13847795488931874	0.46258503401360546	0.9392265193370166	0.7431749241658241	0.8003089719303582		631	0.74124702354705	0		0.7511433876701122	0.7804000375048699	0.7402598888274676	0.9047619047619048	0.8095238095238095	0.9047619047619048		0.9047619047619048	0.9473684210526316	0.5238095238095238	0.6190476190476191	0.8020050125313283	7	0	False		-0.05861896396487676	-0.029362314130119138	0.0879812780949959	0.7217810735399931	False	-0.009453379704630782	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		3				
host_transfer_synergy_priority	governance	0.8054050243640241	0.714523609173669	0.5761862782562541	0.1223450677825351	0.14256825075834176	-0.14256825075834176	0.14256825075834176	0.27937252559034265	0.4781997187060478	0.9392265193370166	0.7189079878665319	0.8009888298416051		631	0.7263868065967016	0		0.7420958441814793	0.7612513521625696	0.7370497612039901	0.8095238095238095	0.7619047619047619	0.7619047619047619		0.7619047619047619	0.7894736842105263	0.2857142857142857	0.9523809523809523	0.731829573934837	7	0	False		-0.06330918018254472	-0.0441536722014545	0.10746285238399922	0.6979421719800248	False	-0.004416194522418926	False	False	True	False	False	True	False	False	not_scored	False	missing:selection_adjusted_empirical_p_roc_auc		4				
ecology_clinical_priority	governance	0.7986773815503098	0.7038952293234496	0.5450082683831005	0.0521305478385126	0.1557128412537917	-0.1557128412537917	0.1557128412537917	0.14317594454041618	0.4489003880983182	0.9585635359116023	0.78159757330637	0.7860411294917176		631	0.7191845253843666	0		0.732795176811077	0.7898321457294791	0.7463006082367608	0.6666666666666667	0.6190476190476191	0.6190476190476191		0.6190476190476191	1.0	0.4285714285714286	0.8095238095238095	0.6802721088435374	7	0	False		-0.06588220473923279	-0.008845235820830633	0.07472744056006342	0.7239499409902463	False	-0.012636252058592201	False	False	True	False	False	True	False	False	not_scored	False	missing:selection_adjusted_empirical_p_roc_auc		5				
support_calibrated_priority	governance	0.8074537171658428	0.7389402271702246	0.5940029504619129		0.18099089989888775	-0.18099089989888775	0.18099089989888775	0.27969488299227063	0.4598639455782313	0.9337016574585635	0.7431749241658241	0.8046223594837162		631	0.7265043948613928	0		0.742234816507049	0.7605919980995438	0.7276540450068643	0.8571428571428572	0.9047619047619048	0.8095238095238095		0.8095238095238095	0.5263157894736843	0.19047619047619047	0.5714285714285714	0.6670247046186895	7	0	False		-0.06521890065879377	-0.04686171906629899	0.11208061972509276	0.69537309744075	False	-0.0028313576821266118	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		6				
monotonic_latent_priority	governance	0.7958752984923383	0.7070233697347375	0.5157536555386303		0.16177957532861476	-0.16177957532861476	0.16177957532861476	0.12118994764690214	0.4567243675099867	0.9475138121546961	0.7593528816986855	0.787995100523347		631	0.7253873063468266	0		0.7389807084252155	0.7736298720433908	0.7331836853437185	0.6190476190476191	0.6666666666666667	0.7142857142857143		0.6666666666666667	0.631578947368421	0.5714285714285714	0.7142857142857143	0.6548514142499106	7	0	False		-0.05689459006712283	-0.022245426448947447	0.07914001651607028	0.716735281976268	False	-0.00788019796899131	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		7				
knownness_robust_priority	governance	0.8046075761981548	0.7125105612796632	0.5870712342805192	0.1210806453874528	0.14964610717896865	-0.14964610717896865	0.14964610717896865	0.28134112627851504	0.48011363636363635	0.9337016574585635	0.7118301314459049	0.8016912750033927		631	0.7230796366522622	0		0.7403901199477892	0.7599875121110576	0.7291469143272626	0.7619047619047619	0.7142857142857143	0.6666666666666667		0.7142857142857143	0.5789473684210527	0.23809523809523814	0.8571428571428572	0.6473326172574294	7	0	False		-0.06421745625036557	-0.04462006408709718	0.10883752033746275	0.6957700558606921	False	-0.002916301194762161	False	False	True	False	False	True	False	False	not_scored	False	missing:selection_adjusted_empirical_p_roc_auc		8				
natural_auc_priority	governance	0.785235313295796	0.6929263102466791	0.5441345432961858		0.16177957532861476	-0.16177957532861476	0.16177957532861476	0.15	0.4567243675099867	0.9475138121546961	0.7593528816986855	0.7742510210696919		631	0.7086162800952465	0		0.71699037629456	0.7743792564125933	0.7390862545796211	0.5714285714285714	0.47619047619047616	0.5238095238095238		0.5714285714285714	0.8947368421052632	0.47619047619047616	0.7142857142857143	0.6040100250626566	7	0	False		-0.06824493700123602	-0.01085605688320268	0.0791009938844387	0.7061343194113573	False	-0.010984292226104087	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		9				
phylogeny_aware_priority	governance	0.7774590922308282	0.6940601488806097	0.5041667996289657		0.19817997977755308	-0.19817997977755308	0.19817997977755308	0.15640340263613312	0.449468085106383	0.9337016574585635	0.7603640040444893	0.7631248244807503		631	0.7032660140517977	0		0.7072126286371643	0.7602409065872839	0.7236872112576922	0.47619047619047616	0.5238095238095238	0.47619047619047616		0.5238095238095238	0.4736842105263158	0.6666666666666667	0.5238095238095238	0.5234514858575009	7	0	False		-0.07024646359366393	-0.01721818564354427	0.0874646492372082	0.68999444299362	False	-0.014334267750077956	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		10				
threat_architecture_priority	governance	0.7776000775419211	0.6940646156037844	0.6111156775058179		0.23356926188068755	-0.23356926188068755	0.23356926188068755	0.2464860010906474	0.39377085650723026	0.9779005524861878	0.9089989888776542	0.7677423909457357		631	0.6707528588646853	0		0.7067802732773781	0.7634445359821889	0.7100372740070087	0.5238095238095238	0.5714285714285714	0.33333333333333337		0.47619047619047616	0.368421052631579	0.1428571428571429	0.47619047619047616	0.41317579663444326	7	0	False		-0.07081980426454293	-0.014155541559732199	0.08497534582427513	0.6926247317176459	False	-0.009857686596185355	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		11				
parsimonious_priority	discovery	0.7505793615127724	0.6591153194245379	0.48612612807314554	0.0461777612959563	0.2679474216380182	-0.2679474216380182	0.2679474216380182	0.0	0.3660262891809909	1.0	1.0	0.7409561906444806		631	0.6749272422612224	0		0.6831103876128551	0.73557847326372	0.6998119948306516	0.38095238095238093	0.38095238095238093	0.38095238095238093		0.2857142857142857	0.3157894736842105	0.7142857142857143	0.09523809523809523	0.3648406731113498	7	0	False		-0.06746897389991724	-0.015000888249052435	0.08246986214896967	0.6681094993638027	False	-0.009623170868291786	False	False	True	True	False	True	False	False	not_scored	False	missing:selection_adjusted_empirical_p_roc_auc		2				
bio_clean_priority	discovery	0.7454289918669099	0.6538034832512319	0.40192547546998936		0.2679474216380182	-0.2679474216380182	0.2679474216380182	0.0	0.3660262891809909	1.0	1.0	0.7309592483173079		631	0.6929623423582326	0		0.6987471388426514	0.7073423654930302	0.6713223775184803	0.33333333333333337	0.33333333333333337	0.4285714285714286		0.4285714285714286	0.1578947368421053	0.7619047619047619	0.09523809523809523	0.3626924453992123	7	0	False		-0.046681853024258535	-0.03808662637387972	0.08476847939813825	0.6606605124687717	False	-0.014469743549602065	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		3				
full_priority	governance	0.7747891829020064	0.6867095570772024	0.6716648874929623	0.0342238009825754	0.23761375126390294	-0.23761375126390294	0.23761375126390294	0.21706656185682616	0.48847926267281105	0.8784530386740331	0.6582406471183013	0.7803650113940486		631	0.6417232560190493	0		0.6925318378529636	0.7468389459664756	0.718412460968431	0.4285714285714286	0.4285714285714286	0.2857142857142857		0.38095238095238093	0.42105263157894735	0.09523809523809523	0.4285714285714286	0.35266738274257076	7	0	False		-0.08225734504904281	-0.02795023693553078	0.11020758198457359	0.6645816009174328	False	0.00557582849204219	False	False	True	True	False	True	False	False	not_scored	False	missing:selection_adjusted_empirical_p_roc_auc		12				
regime_stability_priority	governance	0.6773991734736137	0.5551571085099366	0.10757693484874592		0.2679474216380182	-0.2679474216380182	0.2679474216380182	0.0	0.3660262891809909	1.0	1.0	0.6421265084186942		631	0.7189199517888115	0		0.6841680964376265	0.5766353523210669	0.6062427331975424	0.19047619047619047	0.19047619047619047	0.5714285714285714		0.33333333333333337	0.10526315789473684	0.9047619047619048	0.09523809523809523	0.34156820622986034	7	0	False		0.00676892296401288	-0.10076382115254678	0.10753274411655966	0.569866429357054	False	-0.03527266505491944	True	False	False	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		13				
random_score_control	unclassified	0.5007930423748975	0.37931626862191536	-0.013069384107862257		0.2659251769464105	-0.2659251769464105	0.2659251769464105	0.001233062511908134	0.3667679837892604	1.0	0.9979777553083923			631	0.5312196842755093	0		0.5101782355660175			0.04761904761904767	0.09523809523809523	0.23809523809523814		0.09523809523809523		0.9523809523809523	0.33333333333333337	0.25170068027210885	6	1	False		0.009385193191119967		1.00938519319112	-0.5085921508162224	False		True	False	False	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc,source_holdout_weighted_roc_auc,spatial_holdout_roc_auc		1				
label_permutation	unclassified	0.5172288455946497	0.3775629829230293	-0.21439437428067146		0.26693629929221435	-0.26693629929221435	0.26693629929221435	0.16	0.36639676113360325	1.0	0.9989888776541962			631	0.5253165240687927	0		0.5576756730411438			0.09523809523809523	0.04761904761904767	0.19047619047619047		0.1428571428571429		1.0	0.23809523809523814	0.2448979591836735	6	1	False		0.040446827446494193		1.0404468274464942	-0.5232179818518445	False		True	False	False	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc,source_holdout_weighted_roc_auc,spatial_holdout_roc_auc		2				
baseline_member_count	baseline	0.7228757478830174	0.6491355516322392	0.7031468086078274		0.2659251769464105	-0.2659251769464105	0.2659251769464105	0.21388870596843082	0.3667679837892604	1.0	0.9979777553083923	0.7396857185008873		631	0.5004336067260488	0		0.5965405598725909	0.7362336179047617	0.6904608630189062	0.2857142857142857	0.2857142857142857	0.1428571428571429		0.23809523809523814	0.21052631578947367	0.0	0.33333333333333337	0.21374865735767992	7	0	False		-0.12633518801042654	0.013357870021744267	0.1396930580321708	0.5831826898508466	False	0.01680997061786982	False	True	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		2				
baseline_country_count	baseline	0.541687594173782	0.45446424969117094	0.28226478657205406	0.0342408204264931	0.2679474216380182	-0.2679474216380182	0.2679474216380182	0.0	0.3660262891809909	1.0	1.0	0.5837471569328374		631	0.47420407443337154	0		0.4490543429959865	0.5716220487574787	0.5391087231510117	0.1428571428571429	0.1428571428571429	0.04761904761904767		0.04761904761904767	0.052631578947368474	0.8095238095238095	0.09523809523809523	0.19119226638023637	7	0	False		-0.09263325117779547	0.0299344545836967	0.12256770576149217	0.4191198884122898	False	0.042059562759055424	False	True	True	True	False	True	False	False	not_scored	False	missing:selection_adjusted_empirical_p_roc_auc		3				
source_only	baseline	0.45228087798602484	0.33889561941036755	0.21436267676703968	0.0619132489815439	0.2679474216380182	-0.2679474216380182	0.2679474216380182	0.0	0.3660262891809909	1.0	1.0	0.4632058783572968		631	0.4387365140958932	0		0.4460733397808866	0.43352143116208275	0.4133446443956394	0.0	0.0	0.0		0.0	0.0	0.8571428571428572	0.09523809523809523	0.1360544217687075	7	0	False		-0.006207538205138252	-0.018759446823942094	0.024966985029080346	0.4273138929569445	False	0.010925000371271976	False	False	True	False	False	True	False	False	not_scored	False	missing:selection_adjusted_empirical_p_roc_auc		4				
